jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,nation,state,city,area,suburb,workType
Data Scientist,Information & Communication Technology,Engineering - Software,The Onset,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Fraud Risk Data Scientist,Information & Communication Technology,Other,Optus,Optus,Australia,New South Wales,Sydney,Ryde & Macquarie Park,,Full Time
Data Scientist ,Information & Communication Technology,Engineering - Software,Capgemini Australia Pty Ltd,Capgemini,Australia,South Australia,Adelaide,,,Full Time
Senior Data Scientist - Funds Management,Banking & Financial Services,Analysis & Reporting,Kaizen Recruitment – Small Recruitment Agency of the Year 2019,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist-SAS & SQL,Marketing & Communications,Digital & Search Marketing,Annalect,Annalect,Australia,New South Wales,Sydney,,,Full Time
Senior Data Scientist,Marketing & Communications,Digital & Search Marketing,Annalect,Annalect,Australia,New South Wales,Sydney,,,Full Time
Geospatial Data Scientist,Science & Technology,Other,Outline Global Pty Ltd,,Australia,Victoria,Melbourne,Eastern Suburbs,doncastereast,Full Time
Data Scientist,Information & Communication Technology,Business/Systems Analysts,Cox Purtell Staffing Services,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist / GIS Developer,Information & Communication Technology,Other,Recruitment Hive,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",HBF Health Limited,HBF Health,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Data Scientist | Machine Learning & AI,Science & Technology,"Mathematics, Statistics & Information Sciences",CircuIT Recruitment Group,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Consultants,S2P,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Contract Lead Data Scientist: Attribution Modelling with Media Data at scale!,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Data Scientist,Government & Defence,Other,Comcare,Comcare,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist,Government & Defence,Government - Federal,Comcare,Comcare,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist,Government & Defence,Other,Comcare,Comcare,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Government & Defence,Government - Federal,Comcare,Comcare,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Government & Defence,Other,Comcare,Comcare,Australia,Tasmania,Launceston & North East,,launceston,Full Time
Data Scientist,Government & Defence,Government - Federal,Comcare,Comcare,Australia,Tasmania,Launceston & North East,,launceston,Full Time
Data Scientist,Information & Communication Technology,Engineering - Software,The Onset,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist / Content Engineer - $180K + Super ,Information & Communication Technology,Other,Robert Half Technology,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Lead Data Scientist,Information & Communication Technology,Management,FIRESOFT People,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Contract/Temp
Data Scientist Practice Lead - Brisbane,Information & Communication Technology,Architects,Talenza,,Australia,Queensland,Brisbane,,,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Elula,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Elula,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Australian Security Intelligence Organisation,Australian Security Intelligence Organisation,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist,Government & Defence,Government - Federal,Australian Security Intelligence Organisation,Australian Security Intelligence Organisation,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Australian Security Intelligence Organisation,Australian Security Intelligence Organisation,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Government & Defence,Government - Federal,Australian Security Intelligence Organisation,Australian Security Intelligence Organisation,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Australian Security Intelligence Organisation,Australian Security Intelligence Organisation,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Government & Defence,Government - Federal,Australian Security Intelligence Organisation,Australian Security Intelligence Organisation,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Senior Data Scientist,Information & Communication Technology,Business/Systems Analysts,MYOB,MYOB,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Precision Sourcing,,Australia,New South Wales,Sydney,,,Full Time
Data Scientist,Insurance & Superannuation,Actuarial,Avant Mutual Group,Avant Mutual Group,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist,Consulting & Strategy,Analysts,Bupa,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Full-Stack Developer,Information & Communication Technology,Developers/Programmers,Findex,Findex,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Full-Stack Developer,Information & Communication Technology,Developers/Programmers,Findex,Findex,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Full-Stack Developer,Information & Communication Technology,Developers/Programmers,Findex,Findex,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Contract/Temp
Full-Stack Developer,Information & Communication Technology,Developers/Programmers,Findex,Findex,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Contract/Temp
Full-Stack Developer,Information & Communication Technology,Developers/Programmers,Findex,Findex,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Full-Stack Developer,Information & Communication Technology,Developers/Programmers,Findex,Findex,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Full-Stack Developer,Information & Communication Technology,Developers/Programmers,Findex,Findex,Australia,Tasmania,Hobart,,hobart,Contract/Temp
Lead Data Scientist,Information & Communication Technology,Other,Troocoo,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Full Time
AI & Python developer,Information & Communication Technology,Developers/Programmers,Three Springs Technology,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Pepperstone Group Limited,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,docklands,Full Time
Data Scientist/Machine Learning and Algorithms,Science & Technology,"Mathematics, Statistics & Information Sciences",Mirabilus Pty Ltd,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,crowsnest,Full Time
